sample	length	count
trimmed_SRR32727621	18	12
trimmed_SRR32727621	19	14
trimmed_SRR32727621	20	4
trimmed_SRR32727621	21	6
trimmed_SRR32727621	22	2
trimmed_SRR32727621	25	1
trimmed_SRR32727621	26	2
trimmed_SRR32727621	27	1
trimmed_SRR32727622	18	4
trimmed_SRR32727622	19	3
trimmed_SRR32727622	20	4
trimmed_SRR32727622	21	11
trimmed_SRR32727622	22	4
trimmed_SRR32727622	23	1
trimmed_SRR32727622	25	1
trimmed_SRR32727620	18	7
trimmed_SRR32727620	19	4
trimmed_SRR32727620	20	2
trimmed_SRR32727620	21	2
trimmed_SRR32727620	22	3
trimmed_SRR32727620	24	1
trimmed_SRR32727620	28	1
trimmed_SRR32727618	18	7
trimmed_SRR32727618	19	8
trimmed_SRR32727618	20	5
trimmed_SRR32727618	21	2
trimmed_SRR32727618	22	10
trimmed_SRR32727618	25	1
trimmed_SRR32727618	26	1
trimmed_SRR32727619	18	4
trimmed_SRR32727619	19	8
trimmed_SRR32727619	20	3
trimmed_SRR32727619	21	11
trimmed_SRR32727619	22	2
trimmed_SRR32727619	23	2
trimmed_SRR32727619	24	2
trimmed_SRR32727619	25	5
trimmed_SRR32727619	26	2
trimmed_SRR32727619	27	2
trimmed_SRR32727619	28	2
trimmed_SRR32727619	29	1
trimmed_SRR32727615	18	6
trimmed_SRR32727615	19	12
trimmed_SRR32727615	20	15
trimmed_SRR32727615	21	16
trimmed_SRR32727615	22	1
trimmed_SRR32727615	24	4
trimmed_SRR32727615	25	3
trimmed_SRR32727615	27	1
trimmed_SRR32727615	28	1
trimmed_SRR32727616	18	7
trimmed_SRR32727616	19	10
trimmed_SRR32727616	20	7
trimmed_SRR32727616	21	6
trimmed_SRR32727616	22	2
trimmed_SRR32727616	23	5
trimmed_SRR32727616	24	2
trimmed_SRR32727616	25	2
trimmed_SRR32727616	26	2
trimmed_SRR32727616	27	1
trimmed_SRR32727616	28	1
trimmed_SRR32727617	18	12
trimmed_SRR32727617	19	5
trimmed_SRR32727617	20	8
trimmed_SRR32727617	21	8
trimmed_SRR32727617	22	5
trimmed_SRR32727617	23	1
trimmed_SRR32727617	24	5
trimmed_SRR32727617	27	1
trimmed_SRR32727617	28	2
