sample	length	count
trimmed_SRR11128435	18	1
trimmed_SRR11128435	21	1
trimmed_SRR11128435	25	1
trimmed_SRR11128436	18	1
trimmed_SRR11128436	20	1
trimmed_SRR11128436	21	1
trimmed_SRR11128436	23	1
trimmed_SRR11128436	25	2
trimmed_SRR11128436	27	2
trimmed_SRR11128437	18	1
trimmed_SRR11128437	19	1
trimmed_SRR11128437	21	2
trimmed_SRR11128437	24	1
trimmed_SRR11128437	26	3
trimmed_SRR11128437	28	1
trimmed_SRR11128438	19	1
trimmed_SRR11128438	20	1
trimmed_SRR11128438	23	1
trimmed_SRR11128438	26	1
trimmed_SRR11128438	27	1
trimmed_SRR11128438	28	1
trimmed_SRR11128438	29	1
trimmed_SRR11128438	30	1
trimmed_SRR11128439	18	1
trimmed_SRR11128439	21	2
trimmed_SRR11128439	23	1
trimmed_SRR11128439	25	1
trimmed_SRR11128439	26	6
trimmed_SRR11128439	27	2
trimmed_SRR11128439	30	2
trimmed_SRR11128440	18	2
trimmed_SRR11128440	19	1
trimmed_SRR11128440	20	1
trimmed_SRR11128440	21	1
trimmed_SRR11128440	23	1
trimmed_SRR11128440	25	1
trimmed_SRR11128441	18	1
trimmed_SRR11128441	21	1
trimmed_SRR11128441	24	1
trimmed_SRR11128441	26	1
trimmed_SRR11128441	28	1
trimmed_SRR11128442	20	2
trimmed_SRR11128442	21	1
trimmed_SRR11128444	20	1
trimmed_SRR11128444	21	1
trimmed_SRR11128444	23	1
trimmed_SRR11128446	21	1
trimmed_SRR11128446	22	2
trimmed_SRR11128447	21	2
trimmed_SRR11128447	23	2
trimmed_SRR11128447	25	1
trimmed_SRR11128447	27	1
trimmed_SRR11128448	21	3
trimmed_SRR11128448	22	1
trimmed_SRR11128449	19	1
trimmed_SRR11128449	23	1
